servertype_id,attribute_id,required,default_value
ipmi,service_groups,false,
blade_enclosure,backup_canshrink,false,0
blade_enclosure,backup_maxage,false,
blade_enclosure,backup_window,false,
blade_enclosure,backup_prio,false,300
hypervisor,provisioning_step,false,
blade_enclosure,rack_height,false,
router,backup_prio,false,300
vlan_interface,network_type,false,
vpn,backup_disabled,true,1
switch,datacenter_type,false,
vpn,backup_canshrink,false,0
vpn,backup_maxage,false,
hypervisor,graphite_graphs,false,
vpn,backup_window,false,
accesspoint,mac,false,
vpn,backup_prio,false,300
accesspoint,state,true,online
switch,provider_network,false,
blade_enclosure,rack_position,false,
vm,group_company,false,InnoGames
vm,monitoring_satellite_of,false,
hardware,backup_state,false,
vm,mac,false,
accesspoint,switchports,false,
accesspoint,dell_servicetag,false,
accesspoint,primary_ip6,false,
accesspoint,hardware_model,false,
accesspoint,vlan_networks,false,
vm,game_market,false,
hardware,security_availability,false,
accesspoint,route_network,false,
vpn,vlan_networks,false,
hw_internalrouter,service_groups,false,
provider_network,datacenter,false,
accesspoint,sshfp,false,
blade_enclosure,order_id,false,
natbox,service_groups,false,
nat_gateway,network_type,false,
hardware,vlan_networks,false,
hypervisor,route_network,false,
router,monitoring_groups,false,
nat_gateway,datacenter_type,false,
acl,acl_members,false,
route_network,parent_bond,false,
vpn,route_network,false,
route_network,datacenter,true,
project_network,function,false,
hypervisor,igvm_locked,false,
lb_pool,acl,false,
hypervisor,responsible_admin,true,
storage_module,state,true,
floating_address,environment,true,production
printer,mac,true,
hypervisor,firmware_versions,false,
loadbalancer,network_type,false,
hardware_external,datacenter,false,
natbox,vlan_networks,false,
vm_external,loadbalancer,false,
storage_module,capacity,true,
loadbalancer,project_network,false,
floating_address,project_network,false,
router,project_network,false,
loadbalancer,backup_pool_of,false,
natbox,puppet_ca,true,puppetca.innogames.de
blade_enclosure,auto_update,true,0
blade_enclosure,backup_disabled,true,1
router,auto_update,true,0
router,backup_disabled,true,1
router,backup_canshrink,false,0
router,backup_maxage,false,
router,backup_window,false,
vpn,auto_update,true,0
natbox,puppet_master,true,
service_group,function,false,
service_group,no_logging,false,true
vm_external,security_availability,false,
hw_loadbalancer,order_date,false,
hw_loadbalancer,order_id,false,
router,order_date,false,
router,order_id,false,
switch,order_date,false,
switch,order_id,false,
loadbalancer,no_monitoring,false,0
loadbalancer,state_limit,true,15000
storage_module,serial_number,true,
hardware_external,security_availability,false,
hw_internalrouter,order_date,false,
hw_internalrouter,order_id,false,
hw_loadbalancer,graphite_graphs,false,
project_domain,mx,false,
hw_internalrouter,puppet_disabled,false,False
vpn,puppet_disabled,false,False
hw_internalrouter,graphite_graphs,false,
switch,puppet_disabled,false,True
hw_internalrouter,project_network,false,
router,no_monitoring,false,0
blade_enclosure,order_date,false,
hw_loadbalancer_group,state,true,online
loadbalancer,graphite_graphs,false,
loadbalancer,backup_pool,false,
hardware,repositories_host,false,
hypervisor,cpu_util_pct_tmp,true,0
router,routed_networks,false,
storage_module,installed_in,false,
memory_module,capacity,true,
memory_module,hardware_model,true,
switch,route_network,false,
blade_enclosure,no_monitoring,false,
vm,routed_networks,false,
blade_enclosure,primary_ip6,false,
hardware,provisioning_step,false,
router,datacenter_type,false,
hw_internalrouter,primary_ip6,false,
hw_loadbalancer,primary_ip6,false,
loadbalancer,primary_ip6,false,
nat_gateway,primary_ip6,false,
router,primary_ip6,false,
switch,primary_ip6,false,
vpn,primary_ip6,false,
loadbalancer,allow_from,false,
router,os,false,
hardware,rack_height,false,
datacenter,no_monitoring,false,
floating_address,no_monitoring,false,
hw_internalrouter,dell_servicetag,false,
route_network,public_networks,false,
floating_address,route_network,false,
loadbalancer,symmetric_nat,false,true
hw_internalrouter,repositories,false,
vm_external,os,false,buster
datacenter,datacenter_colo,false,
vm,monitoring_queues,false,
hardware,monitoring_queues,false,
hw_loadbalancer_group,vlan_networks,false,
hw_loadbalancer_group,public_networks,false,
switch,vlan_networks,false,
vm,ipv4_only,false,
route_network,network_zone,false,
vpn,puppet_ca,false,puppetca.innogames.de
vm_external,puppet_ca,true,puppetca.innogames.de
hw_loadbalancer,switchports,false,
router,mac,false,
switch,mac,false,
hardware,rack_position,false,
switch,powerports,false,
switch,switchports,false,
hw_internalrouter,arch,true,amd64
natbox,arch,true,amd64
vm_external,puppet_master,true,
vpn,puppet_master,false,
hypervisor,puppet_master,true,
hw_loadbalancer,puppet_master,true,
vm_external,group_company,false,InnoGames
hypervisor,backup_state,false,
natbox,order_date,false,
natbox,order_id,false,
natbox,puppet_disabled,false,False
natbox,primary_ip6,false,
natbox,no_monitoring,false,
provider_domain,mx,false,
hw_loadbalancer,service_groups,false,
natbox,route_network,false,
hypervisor,vms,false,
hypervisor,repositories,false,
switch,no_monitoring,false,
hw_loadbalancer,no_monitoring,false,
project_domain,project,true,
vpn,routed_networks,false,
natbox,graphite_graphs,false,
nat_gateway,default_snat,false,false
public_domain,project,true,
vm_external,game_market,false,
switch,datacenter,false,
hypervisor,backup_prio,false,300
hypervisor,order_date,false,
hypervisor,order_id,false,
hypervisor,no_monitoring,false,false
hypervisor,puppet_disabled,false,False
hypervisor,harddisk_type,true,ssd
hypervisor,security_availability,false,
hypervisor,primary_ip6,false,
memory_module,serial_number,true,
memory_module,state,true,
route_network,provider,false,
vm,auto_update,false,True
provider_network,network_type,false,public
vm,game_world,false,
hw_loadbalancer,security_availability,false,
vm,backup_disabled,false,False
vm,backup_canshrink,false,False
vm,os,false,buster
router,puppet_disabled,false,1
accesspoint,monitoring_groups,false,
router,responsible_admin,true,kajetan.staszkiewicz
vm,backup_prio,false,300
acl,environment,true,production
hw_internalrouter,provisioning_step,false,
hardware_external,dell_servicetag,false,
hw_loadbalancer,hw_loadbalancer_group,false,
ipmi,project_network,false,
health_check,hc_type,true,ping
floating_address,function,false,
vm_external,sshfp,false,
router,sshfp,false,
vm,num_cpu,true,4
vm,no_monitoring,false,False
vm,puppet_disabled,false,False
hw_loadbalancer,monitoring_groups,false,
hypervisor,monitoring_groups,false,
memory_module,installed_in,false,
ipmi,route_network,false,
vm,primary_ip6,false,
vm,memory,true,2048
vm,disk_size_gib,true,6
vm,security_availability,false,
vm_external,auto_update,false,True
loadbalancer,group_company,false,InnoGames
vm,puppet_ca,true,puppetca.innogames.de
hw_internalrouter,puppet_ca,true,puppetca.innogames.de
natbox,backup_window,false,
natbox,backup_prio,false,
natbox,powerports,false,
natbox,switchports,false,
natbox,mac,false,
hardware_external,rack_height,false,
vm,puppet_master,true,
hw_internalrouter,puppet_master,true,
vm,backup_state,false,
ipmi,dell_servicetag,false,
vm_external,game_world,false,
vm,provider_network,false,
vm,route_network,false,
vm_external,backup_disabled,false,False
vpn,domain,false,
vm_external,backup_canshrink,false,False
vm_external,backup_maxage,false,36
vm_external,backup_prio,false,300
monitoring_queue,project,true,admin
floating_address,sshfp,false,
vm_external,num_cpu,true,8
vm_external,no_monitoring,false,False
vm_external,memory,false,
hardware,security_confidentiality,false,
vm_external,puppet_disabled,false,False
vm_external,security_confidentiality,false,
hardware_external,monitoring_queues,false,
hardware_external,security_confidentiality,false,
vm_external,primary_ip6,false,
vm_external,disk_size_gib,true,
hypervisor,security_confidentiality,false,
hardware_external,backup_prio,false,300
vm,graphite_graphs,false,
vm,served_markets,false,
vm_external,graphite_graphs,false,
hardware_external,order_date,false,
hardware_external,order_id,false,
hardware_external,no_monitoring,false,false
health_check,hc_interval,true,2
hardware_external,puppet_disabled,false,False
health_check,hc_max_failed,true,3
health_check,hc_host,false,
vm,loadbalancer,false,
hw_loadbalancer,repositories,false,
hardware_external,harddisk_type,true,ssd
hardware_external,primary_ip6,false,
blade_enclosure,dell_servicetag,false,
hw_loadbalancer,dell_servicetag,false,
hardware_external,rack_position,false,
natbox,routed_networks,false,
switch,project_network,false,
ipmi,primary_ip6,false,
hardware,backup_prio,false,300
switch,dell_servicetag,false,
router,dell_servicetag,false,
hardware,order_date,false,
hardware,order_id,false,
hardware,no_monitoring,false,false
natbox,num_cpu,false,
hardware,puppet_disabled,false,False
vpn,powerports,false,
vm,datacenter,false,
vm,igvm_locked,false,
vpn,datacenter,false,
vm,repositories,false,int:innogames:stable
service_group,project,true,
acl,function,false,
hardware_external,description,false,
vlan_interface,parent_bond,false,
switch,sshfp,false,
route_network,table_priority,false,
hardware,harddisk_type,true,ssd
hw_loadbalancer,storage_hardware,true,
hw_internalrouter,storage_hardware,false,
hardware_external,arch,false,
hardware_external,auto_update,true,1
storage_module,harddisk_type,true,
hardware,primary_ip6,false,
external_domain,acl,false,
hw_loadbalancer,security_confidentiality,false,
hypervisor,num_cpu,true,
hypervisor,memory,true,
hypervisor,disk_size_gib,true,
hardware_external,num_cpu,true,
vm,security_confidentiality,false,
vm,fixup_enabled,false,
hardware,num_cpu,true,
health_check,hc_timeout,true,1500
project_network,datacenter,false,
printer,provider_network,false,
hardware,loadbalancer,false,
blade_enclosure,route_network,false,
hardware,security_integrity,false,
vm_external,security_integrity,false,
loadbalancer,min_nodes,false,
hardware_external,security_integrity,false,
hardware,disk_size_gib,false,
hardware,memory,false,
blade_enclosure,monitoring_groups,false,
hw_loadbalancer,hardware_components,false,
hw_loadbalancer,num_cpu,false,
hw_loadbalancer,disk_size_gib,false,
hw_loadbalancer,memory,false,
hypervisor,security_integrity,false,
hw_loadbalancer,security_integrity,false,
vm,security_integrity,false,
hw_internalrouter,disk_size_gib,false,
hw_internalrouter,memory,false,
hw_internalrouter,num_cpu,false,
switch,rack_height,false,
natbox,dell_servicetag,false,
hw_loadbalancer,provisioning_step,false,
hardware,legal_personal_data,false,
vm,environment,true,production
hypervisor,cpu_clock_mhz,false,
hw_internalrouter,cpu_clock_mhz,false,
hw_loadbalancer,cpu_clock_mhz,false,
hardware,state,true,online
hardware,cpu_clock_mhz,false,
natbox,repositories,false,
loadbalancer,domain,false,
vm_external,legal_personal_data,false,
switch,rack_position,false,
hypervisor,bladecenter,false,
vpn,allow_to,false,
hardware_external,puppet_environment,false,
hypervisor,ipmi,false,
hardware,ipmi,false,
natbox,ipmi,false,
hw_loadbalancer,ipmi,false,
hardware,puppet_environment,false,
hw_internalrouter,ipmi,false,
vm,puppet_environment,false,
vpn,monitoring_checks,false,ping
ipmi,no_monitoring,false,false
nat_gateway,monitoring_checks,false,ping
vm_external,description,false,
hardware,function,false,
hardware_external,function,false,
loadbalancer,function,false,
nat_gateway,function,false,
blade_enclosure,monitoring_checks,false,ping
vm,function,false,
vm_external,function,false,
blade_enclosure,function,false,
hw_internalrouter,function,false,
hw_loadbalancer,function,false,
hypervisor,function,false,
ipmi,function,false,
natbox,function,false,
router,function,false,
switch,function,false,
vpn,function,false,
hypervisor,dell_servicetag,false,
natbox,cpu_model,false,
hw_loadbalancer,monitoring_checks,false,ping
natbox,cpu_clock_mhz,false,
hardware_external,graphite_graphs,false,
storage_module,hardware_model,true,
hardware,graphite_graphs,false,
provider_network,network_zone,false,
provider_network,network_zones,false,
vm_external,monitoring_queues,false,
nat_gateway,project_network,false,
router,route_network,false,
printer,hardware_model,false,
accesspoint,provider_network,false,
loadbalancer,protocol_port,false,
hardware_external,puppet_ca,true,puppetca.innogames.de
hardware_external,puppet_master,true,
nat_gateway,vrrp_id,false,
switch,hardware_model,true,
natbox,puppet_environment,false,
health_check,hc_ok_codes,false,
loadbalancer,min_nodes_action,false,
natbox,memory,false,
hardware,bladecenter,false,
hw_internalrouter,bladecenter,false,
hw_loadbalancer,bladecenter,false,
provider_domain,state,true,online
switch,bladecenter,false,
hw_loadbalancer,puppet_environment,false,
hypervisor,puppet_environment,false,
hw_internalrouter,puppet_environment,false,
vm_external,puppet_environment,false,
vm,os_product_license,false,
vlan_interface,primary_ip6,false,
router,vlan_interfaces,false,
switch,vlan_interfaces,false,
vm,backup_window,false,2-5
router,memory,false,
vm_external,backup_window,false,2-5
vpn,vlan_interfaces,false,
vlan_interface,no_monitoring,false,
vm,vlan_interfaces,false,
hypervisor,environment,true,production
vm_external,repositories,false,int:innogames:stable
hardware,route_network,false,
vlan_interface,project_network,false,
vm,allow_to,false,
hardware_external,repositories,false,
hw_internalrouter,no_monitoring,false,
hardware,dell_servicetag,false,
hardware,repositories,false,
hardware,allow_to,false,
hypervisor,cpu_util_vm_pct,true,0
hypervisor,cpu_util_pct,true,0
vm,bladecenter,false,
vm,bladecenter_slot,false,
hardware_external,allow_to,false,
hypervisor,hardware_model,true,
hardware,environment,true,production
hardware,monitoring_queue,false,
vm,game_type,false,
loadbalancer,game_type,false,
route_network,internal_gateway_vhid,false,
hw_loadbalancer,hardware_model,false,
hardware,hardware_model,false,
hw_loadbalancer,harddisk_type,false,
hw_internalrouter,hardware_model,false,
hw_internalrouter,harddisk_type,false,
hypervisor,cpu_model,false,
hw_internalrouter,cpu_model,false,
hypervisor,provider_network,false,
hw_loadbalancer,cpu_model,false,
hardware,provider_network,false,
hw_loadbalancer,puppet_disabled,false,false
hardware,cpu_model,false,
hw_internalrouter,rack_height,false,
hardware_external,legal_personal_data,false,
hypervisor,legal_personal_data,false,
hw_loadbalancer,legal_personal_data,false,
vm,legal_personal_data,false,
hw_internalrouter,rack_position,false,
blade_enclosure,hardware_model,false,
vm_external,domain,false,
hw_internalrouter,hardware_components,false,
hypervisor,memory_usage_gib,false,
hypervisor,disk_free_gib,false,
hw_loadbalancer,vlan_interfaces,false,
blade_enclosure,sshfp,false,
route_network,network_zones,false,
hypervisor,load_avg,false,
hypervisor,iops_avg,false,
ipmi,responsible_admin,false,
ipmi,monitoring_queue,false,
natbox,network_zones,false,
natbox,hardware_model,false,
natbox,environment,true,production
vpn,no_monitoring,false,
nat_gateway,environment,true,production
hypervisor,memory_modules,false,
hardware,memory_modules,false,
hardware_external,memory_modules,false,
hw_internalrouter,memory_modules,false,
hw_loadbalancer,memory_modules,false,
natbox,memory_modules,false,
vm,served_game,false,
loadbalancer,default_snat,false,
hypervisor,bladecenter_slot,false,
hardware,bladecenter_slot,false,
router,environment,true,production
hw_internalrouter,bladecenter_slot,false,
hw_loadbalancer,bladecenter_slot,false,
switch,bladecenter_slot,false,
hardware_external,assigned_to,false,
natbox,disk_size_gib,false,
switch,environment,true,production
vpn,environment,true,production
hardware,assigned_to,false,
hypervisor,assigned_to,false,
printer,primary_ip6,false,
loadbalancer,max_nodes,false,
nat_gateway,route_network,false,
hw_internalrouter,datacenter,false,
vm,project_network,false,
hardware,os_product_license,false,
hw_internalrouter,rack,false,
hypervisor,os_product_license,false,
hw_loadbalancer,rack,false,
provider_network,monitoring_queue,false,default.queue
floating_address,monitoring_groups,false,
external_domain,monitoring_checks,false,
natbox,rack,false,
router,rack,false,
vpn,rack,false,
rack,rack_row,false,
rack,rack_number,false,
room_tablet,provider_network,false,
room_tablet,order_date,false,
room_tablet,order_id,false,
vm,responsible_admin,true,
vm_external,responsible_admin,true,
switch,responsible_admin,true,kajetan.staszkiewicz
blade_enclosure,responsible_admin,true,kajetan.staszkiewicz
hw_loadbalancer,responsible_admin,true,kajetan.staszkiewicz
hw_internalrouter,responsible_admin,false,kajetan.staszkiewicz
rack,rack_colo,false,
vm_external,route_network,false,
natbox,responsible_admin,true,kajetan.staszkiewicz
loadbalancer,responsible_admin,false,
nat_gateway,responsible_admin,true,
hardware_external,route_network,false,
hw_internalrouter,route_network,false,
hardware,project_network,false,
loadbalancer,acl,false,
vpn,acl,false,
vm_external,acl,false,
nat_gateway,acl,false,
hardware_external,acl,false,
external_domain,responsible_admin,false,
vpn,responsible_admin,false,
hardware_external,responsible_admin,true,
hardware,responsible_admin,true,
vm,hypervisor,false,
vm,hypervisor_standby,false,
accesspoint,responsible_admin,false,
floating_address,subproject,false,
external_domain,subproject,false,
hw_loadbalancer_group,subproject,false,
project_network,subproject,false,
vm,subproject,false,
health_check,subproject,false,
loadbalancer,monitoring_queue,false,
vpn,monitoring_queue,false,
vm_external,subproject,false,
hardware,subproject,false,
hardware,network_zones,false,
hw_loadbalancer,network_zones,false,
vm_external,network_zones,false,
blade_enclosure,state,true,online
floating_address,state,true,online
loadbalancer,state,true,online
nat_gateway,no_monitoring,false,false
switch,state,true,online
router,hardware_model,false,
vlan_interface,function,false,
health_check,hc_port,false,
hardware,fixup_enabled,false,
health_check,hc_dbname,false,
health_check,hc_user,false,
natbox,harddisk_type,false,
router,monitoring_checks,false,ping
hw_loadbalancer,rack_height,false,
vm,sshfp,false,
hw_internalrouter,monitoring_checks,false,ping
project_network,provider_network,false,
ipmi,ipmi_of,false,
hardware,description,false,
natbox,monitoring_checks,false,ping
loadbalancer,lb_nodes,false,
vlan_interface,vlan_interface_of,false,
ipmi,bladecenter,false,
project_network,default_gateway,false,
project_network,primary_ip6,false,
rack,datacenter,false,
ipmi,bladecenter_slot,false,
vm,barman_host,false,
route_network,default_gateway,false,
project_network,internal_gateway,false,
route_network,vlan_tag,false,
provider_network,primary_ip6,false,
vpn,state,true,online
route_network,primary_ip6,false,
hw_loadbalancer,rack_position,false,
hardware_external,apt_repository_url,false,aptly.innogames.de
route_network,state,true,online
provider_network,state,true,online
vm_external,state,true,online
natbox,public_networks,false,
hardware_external,memory,false,
project_network,acl,false,
provider_network,acl,false,
blade_enclosure,datacenter,false,
route_network,acl,false,
everything,acl,false,
vlan_interface,acl,false,
bond_interface,bond_no,false,
hardware,sshfp,false,
hypervisor,sshfp,false,
hardware_external,sshfp,false,
hypervisor,hardware_components,false,
hw_internalrouter,sshfp,false,
hw_loadbalancer,sshfp,false,
service_group,state,true,online
service_group,subproject,false,
natbox,sshfp,false,
service_group,responsible_admin,true,
vpn,service_groups,false,
natbox,vlan_interfaces,false,
vlan_interface,service_groups,false,
